	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
112	1970-01-01 00:00:00.000000112	0.03633682	0.03633756	0.00504678	7.738638e-16	5.1125120497739075e-30
113	1970-01-01 00:00:00.000000113					
114	1970-01-01 00:00:00.000000114					
115	1970-01-01 00:00:00.000000115					
116	1970-01-01 00:00:00.000000116					
117	1970-01-01 00:00:00.000000117					
118	1970-01-01 00:00:00.000000118					
119	1970-01-01 00:00:00.000000119					
120	1970-01-01 00:00:00.000000120					
121	1970-01-01 00:00:00.000000121					
122	1970-01-01 00:00:00.000000122					
123	1970-01-01 00:00:00.000000123	0.0396558	0.03965656	0.00550775	8.701832e-16	6.464376908936843e-30
124	1970-01-01 00:00:00.000000124					
125	1970-01-01 00:00:00.000000125					
126	1970-01-01 00:00:00.000000126					
127	1970-01-01 00:00:00.000000127					
128	1970-01-01 00:00:00.000000128					
129	1970-01-01 00:00:00.000000129					
130	1970-01-01 00:00:00.000000130					
131	1970-01-01 00:00:00.000000131					
132	1970-01-01 00:00:00.000000132					
133	1970-01-01 00:00:00.000000133	0.04297479	0.04297555	0.005968721	9.764265e-16	8.13925015643551e-30
134	1970-01-01 00:00:00.000000134					
135	1970-01-01 00:00:00.000000135					
136	1970-01-01 00:00:00.000000136					
137	1970-01-01 00:00:00.000000137					
138	1970-01-01 00:00:00.000000138					
139	1970-01-01 00:00:00.000000139					
140	1970-01-01 00:00:00.000000140					
141	1970-01-01 00:00:00.000000141					
142	1970-01-01 00:00:00.000000142					
143	1970-01-01 00:00:00.000000143	0.04629378	0.04629455	0.006429691	1.093956e-15	1.0216567074463634e-29
144	1970-01-01 00:00:00.000000144					
145	1970-01-01 00:00:00.000000145					
146	1970-01-01 00:00:00.000000146					
147	1970-01-01 00:00:00.000000147					
148	1970-01-01 00:00:00.000000148					
149	1970-01-01 00:00:00.000000149					
150	1970-01-01 00:00:00.000000150					
151	1970-01-01 00:00:00.000000151					
152	1970-01-01 00:00:00.000000152					
153	1970-01-01 00:00:00.000000153	0.04961276	0.04961354	0.006890662	1.224327e-15	1.2796763259204874e-29
154	1970-01-01 00:00:00.000000154					
155	1970-01-01 00:00:00.000000155					
156	1970-01-01 00:00:00.000000156					
157	1970-01-01 00:00:00.000000157					
158	1970-01-01 00:00:00.000000158					
159	1970-01-01 00:00:00.000000159					
160	1970-01-01 00:00:00.000000160					
161	1970-01-01 00:00:00.000000161					
162	1970-01-01 00:00:00.000000162					
163	1970-01-01 00:00:00.000000163					
