	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
293	1970-01-01 00:00:00.000000293	0.07954752169334846	0.22145770691625696	-37.356823166519604	0.011048266876759527	4.1601148432934155e-09	1.239583548210908e-12
294	1970-01-01 00:00:00.000000294	0.07983332967885107	0.22210163156219903	-37.42564092911276	0.011087962449441026	4.039514708659758e-09	1.2330896750630478e-12
295	1970-01-01 00:00:00.000000295	0.0801199261631256	0.22272877421213005	-37.494304639145135	0.011127767513461619	4.2663662242108784e-09	1.2251019626635707e-12
296	1970-01-01 00:00:00.000000296	0.08040732013200083	0.22335741258796588	-37.56173742619196	0.011167683332500521	4.479900626905684e-09	1.2190269785806227e-12
297	1970-01-01 00:00:00.000000297	0.0806939659779809	0.2239895554424595	-37.63017973743249	0.011207495262982965	4.365832703064396e-09	1.211041597548198e-12
298	1970-01-01 00:00:00.000000298	0.08098118793687005	0.22461881179227675	-37.69830137085735	0.011247387193993943	4.62344459970343e-09	1.2043308592029335e-12
299	1970-01-01 00:00:00.000000299	0.08126767389878861	0.22525366047463513	-37.7676205730351	0.011287176927688427	4.251266611245297e-09	1.1974792991098146e-12
300	1970-01-01 00:00:00.000000300	0.08155535876490735	0.22587736392109933	-37.836134707630094	0.011327133153550942	4.185881000188586e-09	1.1904280994761995e-12
301	1970-01-01 00:00:00.000000301	0.08184228056442981	0.22651255311239193	-37.90530557966242	0.011366983390695761	4.010848151273775e-09	1.1844233828378789e-12
302	1970-01-01 00:00:00.000000302	0.08213034774230658	0.22712711818891493	-37.97400761000863	0.011406992739225111	4.311477278932988e-09	1.1786218866392575e-12
303	1970-01-01 00:00:00.000000303	0.08241752641753738	0.22776428070477361	-38.0433026732227	0.01144687866338865	3.887008049080516e-09	1.1715372813748252e-12
304	1970-01-01 00:00:00.000000304	0.08270496503295803	0.22838525076765612	-38.113324491709314	0.011486800692323438	3.96729764404913e-09	1.1641157468133488e-12
305	1970-01-01 00:00:00.000000305	0.08299407535108466	0.22899605691975208	-38.18144725207959	0.011526954890719294	4.216024470008563e-09	1.1575477668672175e-12
306	1970-01-01 00:00:00.000000306	0.08328150620887621	0.22963027272801304	-38.25097217223127	0.01156687585382736	3.87163239058184e-09	1.1515391499253882e-12
307	1970-01-01 00:00:00.000000307	0.083569964852475	0.23024293033406484	-38.32051605665285	0.011606939557018614	4.02315477797082e-09	1.1452933972552093e-12
308	1970-01-01 00:00:00.000000308	0.08385786642700818	0.23086817558158385	-38.390615701142906	0.011646925888789818	4.047786908274337e-09	1.1391266786155593e-12
309	1970-01-01 00:00:00.000000309	0.08414694113732779	0.2314781729263464	-38.45985981980526	0.011687075152519091	4.223357334601835e-09	1.133134723885837e-12
310	1970-01-01 00:00:00.000000310	0.08443505717094638	0.23210203672076873	-38.52990137031654	0.01172709126251615	4.0594412027071224e-09	1.127259191345106e-12
311	1970-01-01 00:00:00.000000311	0.08472401321954753	0.23271188529909023	-38.6000068255374	0.011767224066097738	3.8193856049573305e-09	1.1214511220658802e-12
312	1970-01-01 00:00:00.000000312	0.0850131175996621	0.2333308094653848	-38.66962320366869	0.011807377438754577	3.8551627126545715e-09	1.1163019995614708e-12
313	1970-01-01 00:00:00.000000313	0.08530250252172172	0.2339324082202202	-38.73953430550551	0.011847569788188189	4.227922794184504e-09	1.1096508023631264e-12
314	1970-01-01 00:00:00.000000314	0.08559193784390634	0.2345519661757054	-38.80899158615169	0.01188776913628177	3.820385882721233e-09	1.1041049894528159e-12
315	1970-01-01 00:00:00.000000315	0.08588024616201118	0.2351682730606544	-38.88047536632083	0.01192781194253791	4.0642008069377494e-09	1.0972820016487651e-12
316	1970-01-01 00:00:00.000000316	0.08617015147309345	0.23577145855755452	-38.95083915180704	0.011968076572201879	4.367290107116701e-09	1.0929687834739478e-12
317	1970-01-01 00:00:00.000000317	0.08645983862512914	0.23638013113724868	-39.02111799849003	0.012008310922276087	3.855853829392832e-09	1.0863327053616335e-12
318	1970-01-01 00:00:00.000000318	0.08674932695079889	0.23699450193077748	-39.092132391468105	0.012048517613685921	3.5122640533045233e-09	1.0812977841904102e-12
319	1970-01-01 00:00:00.000000319	0.08703967283442136	0.23759256226310582	-39.16245476043521	0.012088843449653807	3.9697679292696336e-09	1.0768063737627786e-12
320	1970-01-01 00:00:00.000000320	0.0873293486172313	0.2382074724591329	-39.23325840361684	0.012129076188107083	3.4957648052692888e-09	1.070856141165801e-12
321	1970-01-01 00:00:00.000000321	0.0876199298546042	0.2387969016273297	-39.3040548146105	0.01216943468931006	3.843102956533748e-09	1.0651245519272004e-12
322	1970-01-01 00:00:00.000000322	0.0879104883003735	0.23940544009828973	-39.374278939256925	0.012209790036170632	4.059127871727934e-09	1.0609885383510764e-12
323	1970-01-01 00:00:00.000000323	0.08819976219459502	0.24001659701076283	-39.44664545761646	0.012249966956555896	3.5752790004752924e-09	1.0559718951341443e-12
324	1970-01-01 00:00:00.000000324	0.08849136271145935	0.24059770301273262	-39.51732362664055	0.01229046705151812	4.3281117788611166e-09	1.0503717528717612e-12
325	1970-01-01 00:00:00.000000325	0.08878259447939052	0.24120957569447157	-39.587255744872046	0.012330915887478025	3.571934386114866e-09	1.044779074608082e-12
326	1970-01-01 00:00:00.000000326	0.08907234106990905	0.24181212915804678	-39.659797391389205	0.012371158476130998	3.740292914866466e-09	1.040105144258683e-12
327	1970-01-01 00:00:00.000000327	0.08936395291559605	0.2424032757338628	-39.73108202951024	0.012411660117963094	3.4846955955436033e-09	1.0350031468497117e-12
328	1970-01-01 00:00:00.000000328	0.08965532147278094	0.24299651851751183	-39.801965736584606	0.01245212796730605	3.548934287663276e-09	1.0303120868227542e-12
329	1970-01-01 00:00:00.000000329	0.08994588997327134	0.24360416412550842	-39.87410774046097	0.01249248471082704	3.244662869851637e-09	1.0247859110401563e-12
330	1970-01-01 00:00:00.000000330	0.09023798505027845	0.2441812626779084	-39.945300308632426	0.012533053480043318	3.9325708611946935e-09	1.0210019755564114e-12
331	1970-01-01 00:00:00.000000331	0.09052953770249914	0.24478087314303373	-40.016739106570355	0.012573546897910308	3.6491818918312794e-09	1.0166266354029602e-12
332	1970-01-01 00:00:00.000000332	0.09082094281881264	0.2453719397147263	-40.08892683461835	0.01261401983461835	3.731756398227371e-09	1.0119629276068106e-12
333	1970-01-01 00:00:00.000000333	0.09111294638809872	0.2459577914007842	-40.160861706388864	0.012654575882601675	3.756679496437303e-09	1.0073595232729634e-12
334	1970-01-01 00:00:00.000000334	0.09140464896898898	0.24655982404027205	-40.232820918034044	0.012695090135649234	3.3370732865805246e-09	1.0024490072391178e-12
335	1970-01-01 00:00:00.000000335	0.09169634504807508	0.24713932982570389	-40.30584852327141	0.012735603484389964	3.8693258230218354e-09	9.979516211504682e-13
336	1970-01-01 00:00:00.000000336	0.0919896848870456	0.24772228515347272	-40.37670490271778	0.012776345119070373	3.540774319422041e-09	9.932436505006947e-13
337	1970-01-01 00:00:00.000000337	0.09228135372575225	0.24831324566595386	-40.44919528448144	0.01281685467389644	3.770037403402856e-09	9.884618758347667e-13
338	1970-01-01 00:00:00.000000338	0.09257381676976993	0.24890210492914827	-40.52194273579156	0.012857474557367058	3.31064522157588e-09	9.845675130692548e-13
339	1970-01-01 00:00:00.000000339	0.09286615468968665	0.24948406361804076	-40.59482616671737	0.01289807704061454	3.649334925105225e-09	9.807814121060964e-13
340	1970-01-01 00:00:00.000000340	0.09315904901229881	0.2500660453006377	-40.66720069503492	0.012938756818250834	3.43663541660569e-09	9.756247072330764e-13
341	1970-01-01 00:00:00.000000341	0.0934519208165972	0.2506489567374005	-40.739795370594926	0.012979433441834028	3.61472851580144e-09	9.723142193364231e-13
342	1970-01-01 00:00:00.000000342	0.09374515645486846	0.25122680497429695	-40.81226654936498	0.013020160596462051	3.2937133896771996e-09	9.677591673177354e-13
343	1970-01-01 00:00:00.000000343	0.09403852649518414	0.2518070771671388	-40.8845263618508	0.013060906472143533	3.476008458100095e-09	9.63210455621612e-13
344	1970-01-01 00:00:00.000000344	0.09433188358501225	0.2523815235661834	-40.957298047072115	0.01310165048465449	3.238265235805385e-09	9.600952005972621e-13
345	1970-01-01 00:00:00.000000345	0.09462535891809566	0.2529631844990975	-41.029757686898314	0.013142410967208182	3.124899984584085e-09	9.554323098612694e-13
346	1970-01-01 00:00:00.000000346	0.09491893051491025	0.25353050537820176	-41.10278621648013	0.013183184797190717	3.7859995121730635e-09	9.515061486917362e-13
347	1970-01-01 00:00:00.000000347	0.09521304836577042	0.2541111763302959	-41.175119528630894	0.013224034494693816	3.125753807079537e-09	9.480181651671502e-13
348	1970-01-01 00:00:00.000000348	0.09550623872450316	0.25468810561398253	-41.24878843856431	0.013264755363598937	3.3714091964740444e-09	9.438282654397494e-13
349	1970-01-01 00:00:00.000000349	0.09580023153639318	0.2552564104455316	-41.322367211786236	0.013305587696157148	3.3729344273802143e-09	9.399631599036373e-13
