	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
98	1970-01-01 00:00:00.000000098						
99	1970-01-01 00:00:00.000000099						
100	1970-01-01 00:00:00.000000100						
101	1970-01-01 00:00:00.000000101						
102	1970-01-01 00:00:00.000000102						
103	1970-01-01 00:00:00.000000103						
104	1970-01-01 00:00:00.000000104						
105	1970-01-01 00:00:00.000000105						
106	1970-01-01 00:00:00.000000106	0.03419994	0.03420068	-26.295	0.004749991	6.293935e-15	3.381814550239289e-28
107	1970-01-01 00:00:00.000000107						
108	1970-01-01 00:00:00.000000108						
109	1970-01-01 00:00:00.000000109						
110	1970-01-01 00:00:00.000000110						
111	1970-01-01 00:00:00.000000111						
112	1970-01-01 00:00:00.000000112						
113	1970-01-01 00:00:00.000000113						
114	1970-01-01 00:00:00.000000114						
115	1970-01-01 00:00:00.000000115						
116	1970-01-01 00:00:00.000000116	0.03751893	0.03751967	-26.295	0.005210962	7.10308e-15	4.307236252173969e-28
117	1970-01-01 00:00:00.000000117						
118	1970-01-01 00:00:00.000000118						
119	1970-01-01 00:00:00.000000119						
120	1970-01-01 00:00:00.000000120						
121	1970-01-01 00:00:00.000000121						
122	1970-01-01 00:00:00.000000122						
123	1970-01-01 00:00:00.000000123						
124	1970-01-01 00:00:00.000000124						
125	1970-01-01 00:00:00.000000125						
126	1970-01-01 00:00:00.000000126	0.04083791	0.04083867	-26.295	0.005671932	7.982735e-15	5.440122838308808e-28
127	1970-01-01 00:00:00.000000127						
128	1970-01-01 00:00:00.000000128						
129	1970-01-01 00:00:00.000000129						
130	1970-01-01 00:00:00.000000130						
131	1970-01-01 00:00:00.000000131						
132	1970-01-01 00:00:00.000000132						
133	1970-01-01 00:00:00.000000133						
134	1970-01-01 00:00:00.000000134						
135	1970-01-01 00:00:00.000000135						
136	1970-01-01 00:00:00.000000136						
137	1970-01-01 00:00:00.000000137	0.0441569	0.04415767	-26.295	0.006132903	8.947938e-15	6.8351997983539225e-28
138	1970-01-01 00:00:00.000000138						
139	1970-01-01 00:00:00.000000139						
140	1970-01-01 00:00:00.000000140						
141	1970-01-01 00:00:00.000000141						
142	1970-01-01 00:00:00.000000142						
143	1970-01-01 00:00:00.000000143						
144	1970-01-01 00:00:00.000000144						
145	1970-01-01 00:00:00.000000145						
146	1970-01-01 00:00:00.000000146						
147	1970-01-01 00:00:00.000000147	0.04747589	0.04747666	-26.295	0.006593873	1.00184e-14	8.568445062867201e-28
148	1970-01-01 00:00:00.000000148						
149	1970-01-01 00:00:00.000000149						
150	1970-01-01 00:00:00.000000150						
151	1970-01-01 00:00:00.000000151						
152	1970-01-01 00:00:00.000000152						
153	1970-01-01 00:00:00.000000153						
154	1970-01-01 00:00:00.000000154						
155	1970-01-01 00:00:00.000000155						
156	1970-01-01 00:00:00.000000156						
157	1970-01-01 00:00:00.000000157	0.05079487	0.05079566	-26.295	0.007054843	1.122236e-14	1.0751614242084752e-27
158	1970-01-01 00:00:00.000000158						
159	1970-01-01 00:00:00.000000159						
160	1970-01-01 00:00:00.000000160						
161	1970-01-01 00:00:00.000000161						
162	1970-01-01 00:00:00.000000162						
163	1970-01-01 00:00:00.000000163						
164	1970-01-01 00:00:00.000000164						
165	1970-01-01 00:00:00.000000165						
166	1970-01-01 00:00:00.000000166						
167	1970-01-01 00:00:00.000000167	0.05411386	0.05411465	-26.295	0.007515814	1.259112e-14	1.353424417468013e-27
168	1970-01-01 00:00:00.000000168						
169	1970-01-01 00:00:00.000000169						
170	1970-01-01 00:00:00.000000170						
171	1970-01-01 00:00:00.000000171						
172	1970-01-01 00:00:00.000000172						
173	1970-01-01 00:00:00.000000173						
174	1970-01-01 00:00:00.000000174						
175	1970-01-01 00:00:00.000000175						
176	1970-01-01 00:00:00.000000176						
177	1970-01-01 00:00:00.000000177	0.05743285	0.05743366	-26.295	0.007976784	1.417974e-14	1.7164921309539015e-27
178	1970-01-01 00:00:00.000000178						
179	1970-01-01 00:00:00.000000179						
180	1970-01-01 00:00:00.000000180						
181	1970-01-01 00:00:00.000000181						
182	1970-01-01 00:00:00.000000182						
183	1970-01-01 00:00:00.000000183						
184	1970-01-01 00:00:00.000000184						
185	1970-01-01 00:00:00.000000185						
186	1970-01-01 00:00:00.000000186						
187	1970-01-01 00:00:00.000000187						
188	1970-01-01 00:00:00.000000188	0.06075183	0.06075266	-26.295	0.008437755	1.605772e-14	2.2012686223355412e-27
189	1970-01-01 00:00:00.000000189						
190	1970-01-01 00:00:00.000000190						
191	1970-01-01 00:00:00.000000191						
192	1970-01-01 00:00:00.000000192						
193	1970-01-01 00:00:00.000000193						
194	1970-01-01 00:00:00.000000194						
195	1970-01-01 00:00:00.000000195						
196	1970-01-01 00:00:00.000000196						
197	1970-01-01 00:00:00.000000197						
198	1970-01-01 00:00:00.000000198	0.06407082	0.06407166	-26.295	0.008898725	1.834861e-14	2.874164501013338e-27
199	1970-01-01 00:00:00.000000199						
200	1970-01-01 00:00:00.000000200						
201	1970-01-01 00:00:00.000000201						
202	1970-01-01 00:00:00.000000202						
203	1970-01-01 00:00:00.000000203						
204	1970-01-01 00:00:00.000000204						
205	1970-01-01 00:00:00.000000205						
206	1970-01-01 00:00:00.000000206						
207	1970-01-01 00:00:00.000000207						
208	1970-01-01 00:00:00.000000208	0.06738981	0.06739067	-26.295	0.009359695	2.125194e-14	3.855692970279853e-27
209	1970-01-01 00:00:00.000000209						
210	1970-01-01 00:00:00.000000210						
211	1970-01-01 00:00:00.000000211						
212	1970-01-01 00:00:00.000000212						
213	1970-01-01 00:00:00.000000213						
214	1970-01-01 00:00:00.000000214						
215	1970-01-01 00:00:00.000000215						
216	1970-01-01 00:00:00.000000216						
217	1970-01-01 00:00:00.000000217						
218	1970-01-01 00:00:00.000000218	0.07070879	0.07070967	-26.295	0.009820665	2.515745e-14	5.403044169019842e-27
219	1970-01-01 00:00:00.000000219						
220	1970-01-01 00:00:00.000000220						
221	1970-01-01 00:00:00.000000221						
222	1970-01-01 00:00:00.000000222						
223	1970-01-01 00:00:00.000000223						
224	1970-01-01 00:00:00.000000224						
225	1970-01-01 00:00:00.000000225						
226	1970-01-01 00:00:00.000000226						
227	1970-01-01 00:00:00.000000227						
228	1970-01-01 00:00:00.000000228						
229	1970-01-01 00:00:00.000000229	0.07402778	0.07402869	-26.295	0.01028164	3.091087e-14	8.156948845047456e-27
230	1970-01-01 00:00:00.000000230						
231	1970-01-01 00:00:00.000000231						
232	1970-01-01 00:00:00.000000232						
233	1970-01-01 00:00:00.000000233						
234	1970-01-01 00:00:00.000000234						
235	1970-01-01 00:00:00.000000235						
236	1970-01-01 00:00:00.000000236						
237	1970-01-01 00:00:00.000000237						
238	1970-01-01 00:00:00.000000238						
239	1970-01-01 00:00:00.000000239	0.07734676	0.0773477	-26.295	0.01074261	4.081569e-14	1.4221963736853368e-26
240	1970-01-01 00:00:00.000000240						
241	1970-01-01 00:00:00.000000241						
242	1970-01-01 00:00:00.000000242						
243	1970-01-01 00:00:00.000000243						
244	1970-01-01 00:00:00.000000244						
245	1970-01-01 00:00:00.000000245						
246	1970-01-01 00:00:00.000000246						
247	1970-01-01 00:00:00.000000247						
248	1970-01-01 00:00:00.000000248						
249	1970-01-01 00:00:00.000000249	0.08066574	0.08066673	-26.295	0.01120358	6.37355e-14	3.4679120578654257e-26
250	1970-01-01 00:00:00.000000250						
251	1970-01-01 00:00:00.000000251						
252	1970-01-01 00:00:00.000000252						
253	1970-01-01 00:00:00.000000253						
254	1970-01-01 00:00:00.000000254						
255	1970-01-01 00:00:00.000000255						
256	1970-01-01 00:00:00.000000256						
257	1970-01-01 00:00:00.000000257						
258	1970-01-01 00:00:00.000000258						
259	1970-01-01 00:00:00.000000259	0.08398473	0.08398581	-26.295	0.01166454	1.763155e-13	2.653910468471143e-25
260	1970-01-01 00:00:00.000000260	0.0843297	0.0843302	-26.295	0.01171246	-1.393562e-10	1.657898246344423e-19
261	1970-01-01 00:00:00.000000261						
262	1970-01-01 00:00:00.000000262	0.08467465	0.08467496	-26.295	0.01176037	-1.915155e-10	3.1312168020151423e-19
263	1970-01-01 00:00:00.000000263	0.0850196	0.0850201	-26.295	0.01180828	-1.563017e-10	2.0856080028721194e-19
264	1970-01-01 00:00:00.000000264	0.08536454	0.08536562	-26.295	0.01185619	-3.371478e-11	9.703891715257992e-21
265	1970-01-01 00:00:00.000000265	0.08570946	0.08571151	-26.295	0.01190409	1.762453e-10	2.651797580763324e-19
266	1970-01-01 00:00:00.000000266	0.08605437	0.08605777	-26.295	0.011952	4.735785e-10	1.9146492971686282e-18
267	1970-01-01 00:00:00.000000267	0.07350050308406895	0.2924507928363451	-21.527898460507465	0.01020840319036835	1.1843239395202053e-05	2.1291419980068813e-07
268	1970-01-01 00:00:00.000000268	0.06583849915991216	0.26528437353682666	-15.83390715497845	0.009144235987882566	1.8265989176336035e-05	2.2776942839755044e-07
269	1970-01-01 00:00:00.000000269	0.06581473057443256	0.26362068957369333	-14.000526377351258	0.009140934783780082	1.8237937598691237e-05	2.270334238238417e-07
270	1970-01-01 00:00:00.000000270	0.06609345832281852	0.26439512685784516	-13.507142108698622	0.009179646973180392	1.8223283853338795e-05	2.2694482340711145e-07
271	1970-01-01 00:00:00.000000271	0.06635091996677017	0.2652534234842295	-13.315830953314812	0.009215405546630712	1.8563566403400064e-05	2.2779511042843137e-07
272	1970-01-01 00:00:00.000000272	0.06660141236243143	0.26611794909826714	-13.195979688739204	0.009250196148351349	1.9079099017800725e-05	2.2895618743864447e-07
273	1970-01-01 00:00:00.000000273	0.06685155525339759	0.2670505592100276	-13.094425390383886	0.009284938216822783	1.918544069228058e-05	2.2886041265990837e-07
274	1970-01-01 00:00:00.000000274	0.06710228563369272	0.26801945408625333	-12.997629178436657	0.009319761877574124	1.897441757260135e-05	2.277216851554496e-07
275	1970-01-01 00:00:00.000000275	0.06735249326320032	0.26893408252048906	-12.901793766760715	0.00935451294843477	1.9125142540231626e-05	2.2817158525025977e-07
276	1970-01-01 00:00:00.000000276	0.06760281085754064	0.2698639924848063	-12.805615146850151	0.009389279276297824	1.9108485368839122e-05	2.278917521497536e-07
277	1970-01-01 00:00:00.000000277	0.06785310291092966	0.27079380550485643	-12.709232534155193	0.00942404206769666	1.9150974893323727e-05	2.277454171401303e-07
278	1970-01-01 00:00:00.000000278	0.0681032434309946	0.27172538901177784	-12.612257755297371	0.009458783805545955	1.9312083432097945e-05	2.2766972947926135e-07
279	1970-01-01 00:00:00.000000279	0.0683535143504876	0.27265505156349373	-12.514905694562222	0.009493543658866864	1.940254307842644e-05	2.2756683032921622e-07
280	1970-01-01 00:00:00.000000280	0.0686039435544523	0.2735933952466462	-12.417306623270308	0.009528325487931763	1.949341914279867e-05	2.2742335355413842e-07
281	1970-01-01 00:00:00.000000281	0.06885459704447368	0.27454598306315786	-12.319611580526315	0.009563138473947368	1.9513333952394737e-05	2.271246739636624e-07
282	1970-01-01 00:00:00.000000282	0.0691050378282537	0.27547445053244507	-12.221369421654515	0.009597921921339769	1.9704437745541102e-05	2.2713535186106776e-07
283	1970-01-01 00:00:00.000000283	0.06935560482339408	0.27641289472404507	-12.122655100786949	0.009632722895448247	1.975170863424142e-05	2.2699941006765994e-07
284	1970-01-01 00:00:00.000000284	0.0696066070244144	0.27734634494124394	-12.024007086688032	0.009667584300528935	1.97767239167711e-05	2.267997100892541e-07
285	1970-01-01 00:00:00.000000285	0.0698576513438612	0.2782752199735072	-11.925136745539078	0.009702451568530689	1.9817531294845744e-05	2.2662195032321902e-07
286	1970-01-01 00:00:00.000000286	0.07010863554939935	0.27920428497825184	-11.82586931208575	0.009737310485061101	1.9859769491032336e-05	2.2645966364633812e-07
287	1970-01-01 00:00:00.000000287	0.07035913251948187	0.2801612919363162	-11.725717994013522	0.009772101734788667	2.016000318199747e-05	2.2641672830879195e-07
288	1970-01-01 00:00:00.000000288	0.0706102593292181	0.28108676460648147	-11.625328262602881	0.00980698044375	2.011775388284465e-05	2.261334123012686e-07
289	1970-01-01 00:00:00.000000289	0.07086207247147801	0.28201550597102937	-11.525485250352519	0.009841954472913729	2.005461276905525e-05	2.2580676146114981e-07
290	1970-01-01 00:00:00.000000290	0.07111450847103636	0.28291292749884966	-11.426184913339128	0.009877015062145304	1.9517009160004857e-05	2.2532419811011793e-07
291	1970-01-01 00:00:00.000000291	0.0713711208833499	0.28376625554196294	-11.330699464536025	0.009912655716721461	1.8382330093120014e-05	2.2448577213325738e-07
292	1970-01-01 00:00:00.000000292	0.07162258087845907	0.28469741795288794	-11.231350930043453	0.009947580699844994	1.851844167115417e-05	2.2461065344656057e-07
293	1970-01-01 00:00:00.000000293	0.07187422870675245	0.28563576100754773	-11.130406730155514	0.00998253178534522	1.8680087164146168e-05	2.2443636149624801e-07
294	1970-01-01 00:00:00.000000294	0.07212550245259676	0.2865818184790567	-11.028361385866134	0.010017430913550635	1.87932147364327e-05	2.2423146292103186e-07
295	1970-01-01 00:00:00.000000295	0.07237762249446401	0.287511146024157	-10.92656496955209	0.010052447584801208	1.879618819095873e-05	2.240007776149575e-07
296	1970-01-01 00:00:00.000000296	0.07262883396307816	0.2884575188170964	-10.823836889736128	0.01008733805608508	1.9099772513344033e-05	2.236426378828403e-07
297	1970-01-01 00:00:00.000000297	0.07288019890297574	0.28939167593148285	-10.72029183495874	0.010122249847711928	1.925906579907477e-05	2.233817089720469e-07
298	1970-01-01 00:00:00.000000298	0.07313408837970783	0.29032779996770347	-10.618588502931532	0.010157512261999404	1.8876850217305973e-05	2.2327899307600403e-07
299	1970-01-01 00:00:00.000000299	0.07338748249418403	0.2912543906276296	-10.517397537246943	0.010192705879324852	1.8797996369969806e-05	2.2313107662396213e-07
300	1970-01-01 00:00:00.000000300	0.07364000357072327	0.2921542197926438	-10.41459125253024	0.010227778257960998	1.8741969900444334e-05	2.2307628965202544e-07
301	1970-01-01 00:00:00.000000301	0.07389447601452856	0.29296135017048824	-10.312892482209923	0.010263121729837912	1.8342695225711603e-05	2.2390280243323158e-07
302	1970-01-01 00:00:00.000000302	0.07414776577006454	0.2938780761122334	-10.21050633443366	0.010298300861211016	1.832933910306942e-05	2.238317572851019e-07
303	1970-01-01 00:00:00.000000303	0.07440070949824398	0.2947812323403001	-10.106957019426776	0.010333431932362405	1.8353237392514184e-05	2.2376432557749428e-07
304	1970-01-01 00:00:00.000000304	0.07465377294757206	0.29568977468717095	-10.002943410657002	0.01036857959473027	1.830929396689277e-05	2.236980533622051e-07
305	1970-01-01 00:00:00.000000305	0.07490694773950195	0.29659844376953126	-9.898605760961914	0.010403742788085937	1.8337843386059572e-05	2.2361322802205757e-07
306	1970-01-01 00:00:00.000000306	0.07516023749202794	0.2975000567537304	-9.793923142620676	0.010438921917674837	1.8338791980063778e-05	2.2356190029258546e-07
307	1970-01-01 00:00:00.000000307	0.07541363105577399	0.29840603552982864	-9.68887565188583	0.010474115439056356	1.8332113043784284e-05	2.2345295061373364e-07
308	1970-01-01 00:00:00.000000308	0.07566702982455291	0.29932027000459793	-9.583638827360065	0.010509309745178231	1.8366906472787552e-05	2.232778991404807e-07
309	1970-01-01 00:00:00.000000309	0.07592162794746034	0.30051477193099985	-9.479066387037347	0.01054467058736273	1.8287547590401225e-05	2.2332056177312865e-07
310	1970-01-01 00:00:00.000000310	0.07617601433699094	0.3013954410253969	-9.375284424463857	0.01058000203222812	1.7958056557256088e-05	2.229963567018017e-07
311	1970-01-01 00:00:00.000000311	0.07643184295957846	0.3020316012081365	-9.271396506396714	0.010615533804799316	1.7092267313166077e-05	2.2201231012830315e-07
312	1970-01-01 00:00:00.000000312	0.07668585211606277	0.30293693067947836	-9.165823896386055	0.010650812860388612	1.7113238508484603e-05	2.2191015621368255e-07
